dist,speed
0,36
3.9999998,35.814896
5.000001,35.5402115
6.000001,35.2646326
6.999999,34.9866639
7.9999995,34.7028241
9,34.4165391
10,34.1291553
11,33.8399544
13,33.2575381
14,32.9665546
15.000001,32.6798985
17,32.1185432
18,31.8395384
20,31.299343
21.0000019,31.0495424
23.0000019,30.5986372
24.9999981,30.196363
26,30.0169062
28,29.7160144
30.0000019,29.4839507
32,29.3120983
34,29.1611399
36,29.1024113
38,29.1024113
40,29.1024113
42,29.369257
45,29.6848164
47,29.9574585
49,30.3099346
51,30.6176929
53.9999962,30.7858734
56,30.8304214
58,30.9324036
60.9999962,30.8959042
63,30.8389221
66,30.7272146
68,30.6513651
71,30.5118188
73,30.4228028
76,30.2766969
78,30.194748
81,30.0790882
84,29.9387522
86,29.859765
89,29.7499657
91,29.7499657
94,29.6723788
96,29.6721363
99,29.6721363
102,29.7995567
104,30.046526
107,30.3844242
110,30.6685238
112,31.15065
115,31.8429527
117.9999924,32.6979828
120,33.6491585
123,34.5534782
125.9999847,35.8769646
129.0000153,37.6376762
132,39.7167969
134.9999847,41.8921776
138.0000153,44.5177269
141,45.103958
144,44.6313586
147.0000153,44.0823859
151,43.3267608
154.0000153,42.791067
157,42.2391146
160,41.6265762
164,40.7836266
167,40.1783896
171,39.392261
174,38.8491126
176.9999847,38.3762819
181,37.8355312
183.9999847,37.4837702
187,37.2177887
191.0000153,36.989193
194,36.989193
197,36.989193
201,37.2237663
204,37.3123856
208,37.6376686
211,38.1137238
215,38.6235275
218,39.1206398
222,39.7108459
225,40.4806404
229,41.4637527
232,42.6365547
236,43.933403
239,45.1125679
241.9999847,46.8577271
245.9999847,49.246891
248.9999847,52.1011696
252.9999847,54.8902626
257,58.9230576
260,64.3828964
264,65.0804506
267,64.7737857
271,64.32329
275,63.8316387
278,63.4420079
282,62.8972458
285.9999695,62.3280406
290,61.7374477
292.9999695,61.2821909
297,60.6594074
301,60.028749
305,59.4708052
309,58.9029117
312,58.3992194
316,57.7156328
320,57.0232232
324,56.3218675
327.9999695,55.6114473
332,54.8923333
336,54.1805671
340,53.4581519
343.9999695,52.7175359
348,51.9656155
352,51.2038591
356,50.4365873
359.9999695,49.662418
364,48.8859432
368,48.123842
371.9999695,47.3764776
376,46.6412522
380,45.9151059
384,45.1934717
387,44.6550033
391,43.9405836
394.9999695,43.2320241
398,42.7119362
401.9999695,42.0293888
405,41.5252725
408.9999695,40.8554433
412,40.3588173
415.9999695,39.6920464
419,39.1892431
422,38.6894871
424.9999695,38.1865559
429,37.5059317
431.9999695,37.0210167
435,36.6000389
438.9999695,36.1061641
442,35.7755809
445,35.5131388
449,35.2689324
452,35.1822212
454.9999695,35.0742302
458,35.0742302
461.9999695,35.0742302
465,35.6136665
468,36.5789871
471,37.8204575
475,39.0514603
478,41.0210342
481,43.6557236
484.9999695,46.5031776
488,48.908802
492,52.4353638
494.9999695,53.5829797
498.9999695,53.131451
502.0000305,52.7592177
506.0000305,52.2432222
509,51.8481368
513,51.3120325
517,50.7923359
520.000061,50.4264287
524.000061,49.9700643
528,49.544346
531,49.2664961
535,48.9608969
539.000061,48.717811
542,48.5671333
546,48.4450264
550,48.4450264
554,48.4450264
557.000061,48.8384895
561.000061,49.4437408
565,49.883625
569,50.6685562
573,51.7272339
576.000061,52.8638535
580.000061,53.8625908
584.000061,55.0346909
588,56.3061256
592,57.4129562
596,57.8483447
600,57.6932864
604.000061,57.4851712
608.000061,57.2497037
612.000061,56.9976754
616,56.7290458
620,56.4418805
624,56.1351875
628,55.8009453
632,55.429398
636.000061,55.0138236
640.000061,54.5518923
644,54.052411
648,53.5067199
652,52.9107855
656,52.2678844
659.000061,51.7590867
663.000061,51.0444027
667,50.2962797
670,49.7263504
674,49.0830262
678.000061,48.4210952
681,47.8304512
685,47.028378
688,46.4342251
692.000061,45.661903
695,45.1026914
699,44.3786835
702,43.8682636
705.000061,43.404267
709.000061,42.8458699
712,42.4691504
715.000061,42.1488824
719.000061,41.8116111
722,41.6398948
725,41.5361525
729.000061,41.3816455
732,41.3180478
735,41.2241974
739,40.9913931
742.000061,40.7652911
745,40.5124103
749,40.1279243
752.000061,39.8201401
756.000061,39.4226548
759,39.1664265
763,38.8736224
766.000061,38.7046165
770.000061,38.7046165
773,38.7046165
776,38.7219009
780.000061,39.3103218
783.000061,39.5948029
787,40.4282341
790,41.8621864
794,43.7488403
798.000061,45.7357216
801,48.1815834
805,51.4974365
809,55.281414
812.000061,58.7153625
816.000061,60.2078078
820,59.8595005
824,59.4185672
827,59.0444865
831,58.5037888
835.000061,57.9324377
839.000061,57.3322434
843,56.7057333
847,56.0575482
851,55.3956261
